id,timestamp,localDateTime,localDate,localTime,label,exerciseId,exerciseName,routineSessionId,routineName,routineId,mode,stopAtTop,targetReps,totalReps,workingReps,warmupReps,weightPerCableKg,cableCount,totalLoadKg,totalVolumeKg,heaviestLiftKg,durationSec,avgMcvMmS,avgAsymmetryPercent,totalVelocityLossPercent,dominantSide,strengthProfile,estimatedOneRepMaxKg
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,1775708485495,2026-04-09T12:21:25+08:00,2026-04-09,12:21,2026-04-09 12:21,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,16.86,30.01,0.005,7.23,BALANCED,FLAT,70.0
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,1775708663588,2026-04-09T12:24:23+08:00,2026-04-09,12:24,2026-04-09 12:24,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,15.9,29.93,0.002,-72.03,BALANCED,FLAT,70.0
d22864a1-f9f0-41b3-a515-ddce093275db,1775708740882,2026-04-09T12:25:40+08:00,2026-04-09,12:25,2026-04-09 12:25,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,15.96,27.84,0.006,-62.9,BALANCED,FLAT,70.0
5016c19b-34a2-4bd7-bb2d-d0f0e37ec131,1775708921437,2026-04-09T12:28:41+08:00,2026-04-09,12:28,2026-04-09 12:28,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,14.38,33.26,0.003,-79.95,BALANCED,FLAT,70.0
d6fa1bc0-ba31-4e00-a081-545d79145dac,1775709095588,2026-04-09T12:31:35+08:00,2026-04-09,12:31,2026-04-09 12:31,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,14.51,35.05,0.003,-61.06,BALANCED,FLAT,70.0
072fb692-8fe6-40d4-a7f4-24851e756d47,1775709268538,2026-04-09T12:34:28+08:00,2026-04-09,12:34,2026-04-09 12:34,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,10.26,45.6,0.006,-73.19,BALANCED,FLAT,35.0
708d304f-fc05-4ac9-acf4-574c0542a2b0,1775709358615,2026-04-09T12:35:58+08:00,2026-04-09,12:35,2026-04-09 12:35,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,9.85,44.41,0.0,-255.86,BALANCED,FLAT,35.0
c21da9c0-1081-4761-bea1-b2660929f68f,1775709539258,2026-04-09T12:38:59+08:00,2026-04-09,12:38,2026-04-09 12:38,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,16.64,49.2,0.001,-88.52,BALANCED,FLAT,35.0
2e02726b-2e1d-4110-a3bc-8f4dc89b2a15,1775709685643,2026-04-09T12:41:25+08:00,2026-04-09,12:41,2026-04-09 12:41,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,12.05,42.94,0.001,-256.97,BALANCED,FLAT,35.0
3895e641-8c06-4ddb-bd9d-2355f8185abe,1775709747323,2026-04-09T12:42:27+08:00,2026-04-09,12:42,2026-04-09 12:42,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,12.82,36.98,0.002,-204.05,BALANCED,FLAT,35.0
8087f473-4e35-4044-8966-a50dcc79f052,1775709870417,2026-04-09T12:44:30+08:00,2026-04-09,12:44,2026-04-09 12:44,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,11.0,60.8,0.005,-66.15,BALANCED,FLAT,35.0
19ed6428-386c-4534-a4a6-508910c2d716,1775709973223,2026-04-09T12:46:13+08:00,2026-04-09,12:46,2026-04-09 12:46,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,9.71,60.2,0.006,-154.86,BALANCED,FLAT,35.0
7acd5789-773b-4924-b5bc-5cfb2071b4df,1775710112997,2026-04-09T12:48:32+08:00,2026-04-09,12:48,2026-04-09 12:48,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,8.47,59.56,0.015,-60.91,BALANCED,FLAT,35.0
d08efcfb-a0a5-445c-aa12-4133d7cbdc84,1775710172318,2026-04-09T12:49:32+08:00,2026-04-09,12:49,2026-04-09 12:49,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,8.32,56.65,0.0,-84.46,BALANCED,FLAT,35.0
539838d1-a88b-43d8-8640-4ca0cf6f59a5,1775710274393,2026-04-09T12:51:14+08:00,2026-04-09,12:51,2026-04-09 12:51,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,8.93,56.96,0.002,-82.2,BALANCED,FLAT,35.0
caeb7905-7221-4570-9ee5-bf29844b1e9e,1775874531840,2026-04-11T10:28:51+08:00,2026-04-11,10:28,2026-04-11 10:28,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,12.47,37.34,0.001,-164.46,BALANCED,FLAT,70.0
79a0a11e-a2fe-4be9-ada8-7fc141470cc8,1775874636902,2026-04-11T10:30:36+08:00,2026-04-11,10:30,2026-04-11 10:30,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,13.54,37.74,0.005,-42.41,BALANCED,FLAT,70.0
5badfe37-547b-4525-ad41-de41bb2eb8b0,1775874813992,2026-04-11T10:33:33+08:00,2026-04-11,10:33,2026-04-11 10:33,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,13.21,38.84,0.002,-38.14,BALANCED,FLAT,70.0
f54e743b-db04-4906-a688-e4a78da0acfa,1775874936245,2026-04-11T10:35:36+08:00,2026-04-11,10:35,2026-04-11 10:35,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,12.83,37.4,0.004,-142.73,BALANCED,FLAT,70.0
72772ad2-169e-4260-87c6-ce147a8c99c6,1775875109511,2026-04-11T10:38:29+08:00,2026-04-11,10:38,2026-04-11 10:38,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,31.0,2,62.0,310.0,31.0,13.43,36.63,0.005,-214.62,BALANCED,FLAT,72.33
c8ce8d44-b4ae-4006-8d0b-20251924a752,1775875292781,2026-04-11T10:41:32+08:00,2026-04-11,10:41,2026-04-11 10:41,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,12.74,56.24,0.001,-51.97,BALANCED,FLAT,23.33
efd935a3-1e12-458b-b4b2-22b3e9363b37,1775875417761,2026-04-11T10:43:37+08:00,2026-04-11,10:43,2026-04-11 10:43,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,15.15,61.98,0.001,-131.82,BALANCED,FLAT,23.33
ea0d3c96-9f60-406d-a7c7-2af8c851891b,1775875603433,2026-04-11T10:46:43+08:00,2026-04-11,10:46,2026-04-11 10:46,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,14.32,62.98,0.005,-86.19,BALANCED,FLAT,23.33
b69a9b3d-a4e2-4101-a5be-33492a998bd9,1775875711072,2026-04-11T10:48:31+08:00,2026-04-11,10:48,2026-04-11 10:48,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,13.45,58.89,0.002,-175.27,BALANCED,FLAT,23.33
d72392a0-3e46-411e-ae53-5388ea45cb7b,1775875896249,2026-04-11T10:51:36+08:00,2026-04-11,10:51,2026-04-11 10:51,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,16.26,61.42,0.002,-43.37,BALANCED,FLAT,23.33
2b0e94c4-f0c1-4813-8cef-8c7482c45345,1775876077450,2026-04-11T10:54:37+08:00,2026-04-11,10:54,2026-04-11 10:54,e64c7837-52e2-4b97-b771-cf08ab861af1,Conventional Deadlift,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,22.0,2,44.0,220.0,22.0,13.97,41.88,0.004,-44.29,BALANCED,FLAT,51.33
cdc151d5-b6ba-4526-9579-b434b86c86d8,1775876162244,2026-04-11T10:56:02+08:00,2026-04-11,10:56,2026-04-11 10:56,e64c7837-52e2-4b97-b771-cf08ab861af1,Conventional Deadlift,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,False,10,5,5,3,5.0,2,10.0,50.0,5.0,16.6,32.35,0.006,10.8,BALANCED,FLAT,11.67
5b6ccc3d-db7e-49ea-bf0b-333b6772d302,1776286382837,2026-04-16T04:53:02+08:00,2026-04-16,04:53,2026-04-16 04:53,MUqWc_cySh8Szk49,High Bar Squat,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,31.5,2,63.0,315.0,31.5,15.42,35.92,0.0,-46.72,BALANCED,FLAT,73.5
94a72716-36be-414e-9969-df44e321bfd7,1776286563245,2026-04-16T04:56:03+08:00,2026-04-16,04:56,2026-04-16 04:56,MUqWc_cySh8Szk49,High Bar Squat,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,31.5,2,63.0,315.0,31.5,15.44,31.94,0.0,-58.73,BALANCED,FLAT,73.5
4aead704-1e4b-44b8-8cdf-e83431919d21,1776286738232,2026-04-16T04:58:58+08:00,2026-04-16,04:58,2026-04-16 04:58,MUqWc_cySh8Szk49,High Bar Squat,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,31.5,2,63.0,315.0,31.5,15.08,36.58,0.002,-126.04,BALANCED,FLAT,73.5
e0825769-c2dd-4b40-a43f-74243dfc8c6f,1776286913463,2026-04-16T05:01:53+08:00,2026-04-16,05:01,2026-04-16 05:01,MUqWc_cySh8Szk49,High Bar Squat,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,31.5,2,63.0,315.0,31.5,14.03,35.31,0.002,-79.74,BALANCED,FLAT,73.5
45253189-a2b1-43f3-b881-fe5845a7b2d9,1776287085691,2026-04-16T05:04:45+08:00,2026-04-16,05:04,2026-04-16 05:04,MUqWc_cySh8Szk49,High Bar Squat,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,31.5,2,63.0,315.0,31.5,13.31,37.98,0.006,-95.1,BALANCED,FLAT,73.5
53d0fa3a-93ad-409a-848e-d933c1d01708,1776287257218,2026-04-16T05:07:37+08:00,2026-04-16,05:07,2026-04-16 05:07,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,16.0,2,32.0,160.0,16.0,9.7,49.88,0.003,-52.48,BALANCED,FLAT,37.33
885e0ba0-52ca-40b4-9da4-e7af80d13dd2,1776287431685,2026-04-16T05:10:31+08:00,2026-04-16,05:10,2026-04-16 05:10,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,16.0,2,32.0,160.0,16.0,9.92,48.29,0.0,-123.44,BALANCED,FLAT,37.33
03c4bde2-bbdf-4c43-8c2d-1be63842045d,1776287610646,2026-04-16T05:13:30+08:00,2026-04-16,05:13,2026-04-16 05:13,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,16.0,2,32.0,160.0,16.0,10.19,50.77,0.002,-39.51,BALANCED,FLAT,37.33
6f81e4db-13cc-4837-b96d-c3f775127129,1776287786130,2026-04-16T05:16:26+08:00,2026-04-16,05:16,2026-04-16 05:16,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,16.0,2,32.0,160.0,16.0,9.92,50.52,0.001,-92.38,BALANCED,FLAT,37.33
7fc20377-ba87-4700-906c-75c92a94a39a,1776287961573,2026-04-16T05:19:21+08:00,2026-04-16,05:19,2026-04-16 05:19,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,16.0,2,32.0,160.0,16.0,9.39,50.1,0.003,-79.59,BALANCED,FLAT,37.33
5ce80f9e-03c4-465c-9e9f-6238cf62da67,1776288136546,2026-04-16T05:22:16+08:00,2026-04-16,05:22,2026-04-16 05:22,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,16.0,2,32.0,160.0,16.0,10.28,59.81,0.0,-187.48,BALANCED,FLAT,37.33
77ef7411-5f3b-4462-a314-9ccdadb16109,1776288290446,2026-04-16T05:24:50+08:00,2026-04-16,05:24,2026-04-16 05:24,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,16.0,2,32.0,160.0,16.0,9.43,64.57,0.0,-74.35,BALANCED,FLAT,37.33
cf037c2a-d674-4e0f-bdc8-16d5ac8e0761,1776288438963,2026-04-16T05:27:18+08:00,2026-04-16,05:27,2026-04-16 05:27,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,79d7bec2-0a96-4ef1-8e65-428710711887,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,16.0,2,32.0,160.0,16.0,8.53,73.46,0.001,-199.05,BALANCED,FLAT,37.33
